#,Reaction,Rate,Src0,Src1
1.0,N2+ + O → NO+ + N(2D),"if Ti<1500:
(1-0.07*xi**0.21) * 1.4e-10*xi**-0.44
if Ti>=1500:
(1-0.07*xi**0.21) * 5.2e-11*xi**0.2",G18,nan
39.0,N2+ + O → O+ + N2,"if Ti<1500:
0.07*xi**0.21 * 1.4e-10*xi**-0.44
if Ti>1500:
0.07*xi**0.21 * 5.2e-11*xi**0.2",G18,nan
2.0,N2+ + O2 → N2 + O2+,5.0e-11*xi**-0.8,G18,nan
3.0,N2+ + e → N(2D) + N,"if Te<1200:
0.88*2.2e-7*xe**-0.39
if Te>=1200:
0.88*1.95e-7*xe**-0.57",G18,nan
72.0,N2+ + e → N(2D) + N(2D),"if Te<1200:
0.12*2.2e-7*xe**-0.39
if Te>=1200:
0.12*1.95e-7*xe**-0.57",G18,nan
4.0,O+ + N2 → NO+ + N,"if Tf<3725:
1.71676e-12 - 7.19934e-13*xf + 1.33276e-13*xf**2 - 9.28213e-15*xf**3 + 6.39557e-16*xf**4
if Tf>=3725:
-1.52489e-11 + 7.67112e-13*xf + 1.19064e-13*xf**2 - 1.30858e-15*xf**3 + 4.67756e-18*xf**4",nan,SL98
5.0,O+ + O2 → O2+ + O,"if Tf<4800:
2.78932e-11 - 6.92612e-12*xf + 8.67684e-13*xf**2 - 3.47251e-14*xf**3 + 5.07097e-16*xf**4
if Tf>=4800:
-1.74046e-11 + 3.02328e-12*xf - 2.39214e-15*xf**2 - 4.02394e-17*xf**3",nan,SL98
6.0,O+ + NO → NO+ + O,"if Tf<3800:
6.40408e-13 - 1.33888e-13*xf + 7.65103e-14*xf**2 - 3.11509e-15*xf**3 + 6.62374e-17*xf**4
if Tf>=3800:
-7.48312e-13 + 2.31502e-13*xf + 3.0716e-14*xf**2 - 2.65436e-16*xf**3 + 7.76665e-19*xf**4",nan,SL98
9.0,O2+ + NO → NO+ + O2,4.1e-10,G18,nan
67.0,O2+ + N2 → NO+ + NO,5e-16,G18,nan
38.0,N2+ + NO → NO+ + N2,7.5e-9*Tn**-0.52,G18,nan
10.0,O2+ + N → NO+ + O(1S),0.15*1.65e-10,G18,nan
71.0,O2+ + N → NO+ + O(1D),0.85*1.65e-10,G18,nan
11.0,O2+ + e → O(1D) + O,"if Te<1200:
0.609*1.95e-7*xe**-0.7
if Te>=1200:
0.609*1.93e-7*xe**-0.61",G18,SS04
69.0,O2+ + e → O(1D) + O(1D),"if Te<1200:
0.389*1.95e-7*xe**-0.7
if Te>=1200:
0.389*1.93e-7*xe**-0.61",G18,SS04
70.0,O2+ + e → O(1D) + O(1S),"if Te<1200:
0.002*1.95e-7*xe**-0.7
if Te>=1200:
0.002*1.93e-7*xe**-0.61",G18,SS04
12.0,N+ + O2 → O2+ + N,1.93e-10,G18,nan
42.0,N+ + O2 → O2+ + N(2D),8.25e-11,G18,nan
